ACS_location,restaurants_reviewed,reviews,average_stars,pct_reviews_local_organic_words,avg_stars_local_organic_words,avg_stars_no_local_organic_words,GEO.id,Zip_Code,Latitude,Longitude
Albany,428,13958,3.639284436,0.006877776,3.9375,3.638075314,0600000US3600101000,12201,42.614852,-73.970812
Alexandria,31,294,3.384353741,0.017006803,3.6,3.380622837,0600000US3604501176,13607,44.345796,-75.89868
Amenia,9,114,4.131578947,0.078947368,4.222222222,4.123809524,0600000US3602701693,12501,41.84837668,-73.54999696
Amherst,61,1912,3.488493724,0.003138075,4.166666667,3.486358867,0600000US3602902000,14221,42.98372379,-78.73089163
Amsterdam,43,257,3.416342412,0.007782101,4,3.411764706,0600000US3605702077,12010,42.94483879,-74.17336817
Auburn,65,520,3.711538462,0.028846154,4.2,3.697029703,0600000US3601103078,13021,42.93043531,-76.5611196
Aurora,29,647,3.783616692,0.018547141,4.666666667,3.766929134,0600000US3602903199,13026,42.74803078,-76.67790695
Babylon,47,4361,3.628235294,0.006191241,3.814814815,3.650899862,0600000US3610304000,11702,40.69802951,-73.32727125
Baldwin,46,654,3.603975535,0,NA,3.603975535,0600000US3601504132,11510,40.65579667,-73.6095487
Batavia,47,421,3.567695962,0.004750594,3,3.570405728,0600000US3603704726,14020,43.00049156,-78.19101683
Beacon,49,2070,3.907729469,0.026086957,4.314814815,3.896825397,0600000US3602705100,12508,41.50962192,-73.96294726
Bedford,7,247,3.117408907,0.20242915,3.48,3.025380711,0600000US3611905320,10506,41.18427518,-73.64203888
Brookhaven,7,4673,3.387096774,0.007703831,3.944444444,3.53375027,0600000US3610310000,11719,40.77624672,-72.91921148
Buffalo,321,7100,3.637887324,0.003521127,3.6,3.638021201,0600000US3602911000,14201,42.89634433,-78.88497679
Camillus,24,237,3.544303797,0.008438819,2.5,3.553191489,0600000US3606711913,13031,43.04084544,-76.28647118
Canton,16,118,3.296610169,0.050847458,3.333333333,3.294642857,0600000US3608912342,13617,44.59045164,-75.16045115
Carmel,48,579,3.580310881,0.003454231,4,3.578856153,0600000US3607912529,10512,41.44356193,-73.68008157
Catskill,28,410,3.670731707,0.007317073,2.666666667,3.678132678,0600000US3603913013,12414,42.22619414,-73.90500742
Cazenovia,12,149,3.617449664,0.006711409,1,3.635135135,0600000US3605313156,13035,42.93622448,-75.84171344
Chatham,16,215,3.711627907,0.065116279,4.571428571,3.651741294,0600000US3602114014,12037,42.34641907,-73.57851291
Chautauqua,16,124,3.467741935,0.008064516,5,3.455284553,0600000US3601314069,14722,42.210302,-79.469964
Cheektowaga,66,2428,3.704807692,0.006589786,4.0625,3.630182421,0600000US3602915011,14206,42.88146788,-78.80626812
Chester,25,463,3.794816415,0.004319654,2.5,3.800433839,0600000US3611315319,10918,41.35017337,-74.26465508
Cicero,37,256,3.78125,0,NA,3.78125,0600000US3606715704,13039,43.17503348,-76.0840872
Clarence,27,521,3.827255278,0.003838772,3,3.83044316,0600000US3602915825,14031,42.9775933,-78.6205264
Clay,17,740,3.989189189,0,NA,3.989189189,0600000US3606716067,13039,43.17503348,-76.0840872
Clayton,19,209,3.574162679,0.009569378,4,3.570048309,0600000US3604516100,13624,44.21538798,-76.0808815
Clinton,17,145,3.786206897,0.013793103,4.5,3.776223776,0600000US3602716408,13323,43.05633776,-75.38115911
Cobleskill,23,227,3.519823789,0.017621145,3.25,3.524663677,0600000US3609516639,12043,42.69159086,-74.48831332
